t	Sol_x	Sol_y	Mercurio_x	Mercurio_y	Venus_x	Venus_y	Tierra_x	Tierra_y	Marte_x	Marte_y	Jupiter_x	Jupiter_y	Saturno_x	Saturno_y	Urano_x	Urano_y	Neptuno_x	Neptuno_y	
8.30000	0.01012457	0.02907078	0.39536643	-0.00770538	-0.66716333	-0.21353058	-0.37755937	0.94931000	-1.28573692	0.83155118	-1.72294404	-4.89364788	-1.91421793	9.37533181	15.60289345	11.12238404	28.57326830	9.30622621	
8.40000	0.00993725	0.02949216	-0.30376227	0.24414752	-0.13153454	-0.67726661	-0.84515431	0.54435156	-1.47738543	0.36301924	-1.46109967	-4.97703203	-2.11309550	9.33293983	15.51872419	11.23833806	28.53731068	9.41450196	
8.50000	0.00974425	0.02990059	0.19580529	-0.30735358	0.54139230	-0.45934129	-0.98436263	-0.05830364	-1.50476347	-0.14236107	-1.19516902	-5.04650822	-2.31100843	9.28631945	15.43368035	11.35366000	28.50093672	9.52264078	
8.60000	0.00954797	0.03029531	0.01932877	0.41335667	0.70487485	0.22816203	-0.74169079	-0.62709797	-1.36487044	-0.62873006	-0.92588998	-5.10187649	-2.50786691	9.23549245	15.34776661	11.46834327	28.46414693	9.63064110	
8.70000	0.00934965	0.03067757	-0.16760278	-0.30747176	0.20262588	0.72597641	-0.21060682	-0.94358936	-1.07317225	-1.04232820	-0.65401036	-5.14297600	-2.70358168	9.18048252	15.26098766	11.58238132	28.42694183	9.73850132	
8.80000	0.00914933	0.03104758	0.33512832	0.23837276	-0.48472590	0.55484294	0.40485436	-0.88667312	-0.66189876	-1.33742509	-0.38028583	-5.16968546	-2.89806399	9.12131524	15.17334828	11.69576763	28.38932193	9.84621988	
8.90000	0.00894711	0.03140526	-0.36920924	-0.00140905	-0.69371504	-0.12273107	0.86895571	-0.47858208	-0.17649374	-1.48137149	-0.10547783	-5.18192364	-3.09122568	9.05801809	15.08485328	11.80849573	28.35128776	9.95379519	
9.00000	0.00874332	0.03174928	0.36458859	-0.11976154	-0.22142842	-0.65105416	1.00440740	0.12442310	0.32939840	-1.45821366	0.16964856	-5.17964958	-3.28297921	8.99062038	14.99550751	11.92055916	28.31283985	10.06122567	
9.10000	0.00854042	0.03207898	-0.22285092	0.33459611	0.47385301	-0.52040514	0.75947537	0.69200171	0.79986142	-1.27046381	0.44432675	-5.16286281	-3.47323768	8.91915330	14.90531588	12.03195151	28.27397873	10.16850976	
9.20000	0.00834011	0.03239567	0.08210026	-0.34456773	0.72314378	0.14078387	0.22747466	1.00722732	1.18289317	-0.93882558	0.71779079	-5.13160338	-3.66191491	8.84364987	14.81428334	12.14266640	28.23470495	10.27564588	
