t,Sol_x,Sol_y,Mercurio_x,Mercurio_y,Venus_x,Venus_y,Tierra_x,Tierra_y,Marte_x,Marte_y,Jupiter_x,Jupiter_y,Saturno_x,Saturno_y,Urano_x,Urano_y,Neptuno_x,Neptuno_y,
5.700000,0.011804,0.015339,0.393445,0.079103,-0.246029,0.688131,-0.236307,-0.952100,1.508856,0.300081,-5.171595,0.716327,3.295089,8.968263,17.470253,7.908014,29.360513,6.448214,
5.800000,0.011890,0.015907,-0.347333,0.138959,-0.696465,0.141137,0.380843,-0.912828,1.332886,0.775728,-5.201091,0.444036,3.103297,9.037061,17.410292,8.037992,29.335539,6.559490,
5.900000,0.011961,0.016476,0.279695,-0.261461,-0.460067,-0.527126,0.856838,-0.518086,1.010916,1.167405,-5.216209,0.170564,2.910096,9.101751,17.349353,8.167520,29.310137,6.670670,
6.000000,0.012020,0.017045,-0.079123,0.388272,0.233531,-0.669836,1.009903,0.081016,0.578549,1.431901,-5.216905,-0.103333,2.715574,9.162303,17.287440,8.296590,29.284308,6.781754,
6.100000,0.012066,0.017614,-0.069544,-0.356129,0.714886,-0.151792,0.781691,0.655673,0.083577,1.540073,-5.203176,-0.376896,2.519821,9.218690,17.224555,8.425194,29.258052,6.892739,
6.200000,0.012102,0.018183,0.272843,0.302387,0.523353,0.528650,0.259267,0.986363,-0.419306,1.480054,-5.175059,-0.649371,2.322924,9.270888,17.160703,8.553327,29.231370,7.003623,
6.300000,0.012126,0.018754,-0.343756,-0.113952,-0.158104,0.719092,-0.357723,0.946383,-0.874547,1.258553,-5.132629,-0.920004,2.124974,9.318872,17.095887,8.680979,29.204262,7.114406,
6.400000,0.012136,0.019326,0.395233,-0.035319,-0.674520,0.233974,-0.832834,0.550702,-1.231866,0.900107,-5.076001,-1.188045,1.926061,9.362623,17.030110,8.808145,29.176729,7.225086,
6.500000,0.012130,0.019898,-0.290881,0.249590,-0.525293,-0.458962,-0.983486,-0.048992,-1.451799,0.444368,-5.005331,-1.452753,1.726277,9.402119,16.963376,8.934817,29.148770,7.335661,
6.600000,0.012109,0.020466,0.182017,-0.325004,0.144523,-0.688786,-0.751679,-0.622232,-1.510055,-0.058266,-4.920809,-1.713395,1.525711,9.437345,16.895688,9.060987,29.120386,7.446129,
6.700000,0.012074,0.021028,0.040085,0.403399,0.687713,-0.235948,-0.226624,-0.948765,-1.400198,-0.552214,-4.822667,-1.969250,1.324455,9.468283,16.827051,9.186650,29.091578,7.556489,
6.800000,0.012028,0.021584,-0.180883,-0.307505,0.583888,0.463278,0.389992,-0.903535,-1.134362,-0.982850,-4.711173,-2.219607,1.122602,9.494922,16.757468,9.311796,29.062346,7.666739,
6.900000,0.011972,0.022136,0.347373,0.214076,-0.067876,0.738636,0.862011,-0.504238,-0.741915,-1.302540,-4.586632,-2.463774,0.920242,9.517249,16.686942,9.436420,29.032690,7.776878,
7.000000,0.011904,0.022683,-0.367381,0.008318,-0.641830,0.323219,1.009154,0.096268,-0.266214,-1.475908,-4.449385,-2.701071,0.717468,9.535255,16.615478,9.560515,29.002611,7.886904,
7.100000,0.011825,0.023226,0.360153,-0.144663,-0.582157,-0.383124,0.775295,0.668653,0.240190,-1.483743,-4.299808,-2.930839,0.514373,9.548932,16.543080,9.684073,28.972109,7.996815,
7.200000,0.011733,0.023761,-0.204884,0.337229,0.053027,-0.696342,0.249590,0.994258,0.721352,-1.325116,-4.138311,-3.152441,0.311048,9.558274,16.469751,9.807087,28.941185,8.106610,
7.300000,0.011631,0.024289,0.067421,-0.355542,0.649269,-0.316034,-0.367116,0.948293,1.124109,-1.017484,-3.965338,-3.365258,0.107587,9.563278,16.395495,9.929550,28.909839,8.216287,
7.400000,0.011520,0.024809,0.155983,0.381164,0.634793,0.390652,-0.838522,0.547998,1.403948,-0.594761,-3.781363,-3.568699,-0.095919,9.563943,16.320317,10.051456,28.878071,8.325845,
7.500000,0.011400,0.025322,-0.273771,-0.226667,0.023269,0.746384,-0.983501,-0.053178,1.529927,-0.103587,-3.586892,-3.762195,-0.299376,9.560268,16.244220,10.172797,28.845882,8.435281,
7.600000,0.011268,0.025829,0.389484,0.107269,-0.598857,0.407379,-0.746283,-0.624215,1.488096,0.401827,-3.382460,-3.945206,-0.502692,9.552255,16.167209,10.293567,28.813273,8.544595,
